alias	fi	t	cdx	cdy	mag	regOK	frameW	frameH	boxW	boxH	mean
BND2_L6	221	44.400	-0.01852	0.00208	0.01864	1	270	480	0.174	0.217	0.573
BND2_L6	222	44.600	-0.00000	0.00625	0.00625	1	270	480	0.170	0.206	0.573
BND2_L6	223	44.800	-0.00000	0.01042	0.01042	1	270	480	0.170	0.200	0.569
BND2_L6	224	45.000	0.01481	0.01250	0.01938	1	270	480	0.152	0.183	0.573
BND2_L6	225	45.200	0.02963	0.01042	0.03141	1	270	480	0.130	0.169	0.573
BND2_L6	226	45.400	0.02593	0.00625	0.02667	1	270	480	0.141	0.158	0.573
BND2_L6	227	45.600	-0.71111	-0.15417	0.72763	0	270	480	0.133	0.154	0.573
BND2_L6	228	45.800	-0.00000	0.00000	0.00000	1	270	480	0.181	0.217	0.604
BND2_L6	229	46.000	-0.00000	0.00000	0.00000	1	270	480	0.163	0.229	0.600
BND2_L6	230	46.200	-0.00000	0.00000	0.00000	1	270	480	0.133	0.229	0.600
BND2_L6	231	46.400	-0.00000	0.00000	0.00000	1	270	480	0.122	0.242	0.600
BND2_L6	232	46.600	-0.00000	0.00000	0.00000	1	270	480	0.133	0.231	0.600
BND2_L6	233	46.800	-0.00000	0.00000	0.00000	1	270	480	0.148	0.225	0.596
BND2_L6	234	47.000	-0.00000	0.00000	0.00000	1	270	480	0.152	0.227	0.600
BND2_L6	235	47.200	-0.00000	0.00000	0.00000	1	270	480	0.133	0.221	0.600
BND2_L6	236	47.400	-0.00000	0.00000	0.00000	1	270	480	0.148	0.210	0.604
BND2_L6	237	47.600	-0.00000	0.00000	0.00000	1	270	480	0.152	0.167	0.604
BND2_L6	238	47.800	-0.00000	0.00000	0.00000	1	270	480	0.141	0.150	0.600
BND2_L6	239	48.000	-0.00000	0.00000	0.00000	1	270	480	0.141	0.144	0.604
BND2_L6	240	48.200	-0.00000	0.00000	0.00000	1	270	480	0.141	0.135	0.604
BND2_L6	241	48.400	-0.00000	0.00000	0.00000	1	270	480	0.141	0.125	0.604
BND2_L6	242	48.600	-0.00000	0.01250	0.01250	1	270	480	0.133	0.125	0.604
BND2_L6	243	48.800	-0.00000	0.01250	0.01250	1	270	480	0.096	0.148	0.600
BND2_L6	244	49.000	0.00741	0.00208	0.00769	1	270	480	0.111	0.152	0.600
